xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
0.24,-9.74,-0.6,1.26,8.96,2.45,standing
0.23,-9.73,-0.6,2.03,10.22,2.66,standing
0.22,-9.72,-0.6,2.31,10.78,2.94,standing
0.22,-9.72,-0.6,2.73,11.2,3.08,standing
0.21,-9.73,-0.6,2.87,12.11,3.08,standing
0.21,-9.74,-0.6,2.73,12.46,3.01,standing
0.2,-9.75,-0.61,2.45,12.95,2.94,standing
0.2,-9.77,-0.61,2.03,13.3,2.87,standing
0.2,-9.79,-0.62,0.14,14.14,2.66,standing
0.19,-9.8,-0.62,-0.7,14.49,2.59,standing
0.19,-9.81,-0.62,-1.61,14.91,2.45,standing
0.19,-9.82,-0.62,-2.38,15.33,2.45,standing
0.18,-9.83,-0.61,-3.71,15.89,2.45,standing
0.18,-9.84,-0.61,-4.13,16.1,2.52,standing
0.18,-9.84,-0.6,-4.48,16.38,2.52,standing
0.17,-9.84,-0.6,-4.69,16.8,2.52,standing
0.17,-9.82,-0.58,-4.48,16.94,2.52,standing
0.17,-9.81,-0.58,-4.2,17.01,2.52,standing
0.16,-9.8,-0.57,-3.85,17.01,2.38,standing
0.15,-9.77,-0.57,-2.52,17.29,2.17,standing
0.15,-9.76,-0.56,-1.75,17.43,2.1,standing
0.15,-9.75,-0.56,-1.26,17.57,2.1,standing
0.15,-9.75,-0.56,-0.7,17.71,2.24,standing
0.14,-9.75,-0.56,0.49,17.99,2.59,standing
0.14,-9.75,-0.55,0.84,18.06,2.66,standing
0.14,-9.76,-0.55,0.98,17.99,2.73,standing
0.14,-9.76,-0.54,0.21,17.92,2.59,standing
0.14,-9.78,-0.54,-0.7,17.99,2.52,standing
0.13,-9.79,-0.54,-1.61,17.99,2.38,standing
0.13,-9.8,-0.54,-2.31,17.92,2.24,standing
0.13,-9.8,-0.55,-3.15,17.92,2.03,standing
0.12,-9.79,-0.55,-3.15,17.92,1.96,standing
0.12,-9.79,-0.55,-2.73,17.92,1.89,standing
0.12,-9.78,-0.55,-2.24,17.78,1.75,standing
0.12,-9.78,-0.54,-1.68,17.57,1.54,standing
0.12,-9.78,-0.53,-1.61,17.64,1.61,standing
0.13,-9.78,-0.53,-1.54,17.57,1.54,standing
0.13,-9.79,-0.53,-1.68,17.22,1.61,standing
0.14,-9.79,-0.52,-1.75,17.08,1.68,standing
0.14,-9.79,-0.52,-2.1,16.87,1.68,standing
0.15,-9.79,-0.52,-2.45,16.66,1.82,standing
0.15,-9.79,-0.53,-2.73,16.45,1.89,standing
0.16,-9.79,-0.53,-2.59,16.31,2.03,standing
0.16,-9.79,-0.53,-2.45,16.17,2.03,standing
0.16,-9.79,-0.52,-2.17,16.03,2.17,standing
0.16,-9.78,-0.52,-2.24,15.82,2.1,standing
0.17,-9.78,-0.51,-2.17,15.68,2.03,standing
0.17,-9.78,-0.51,-2.17,15.47,1.82,standing
0.17,-9.78,-0.51,-1.89,15.33,1.61,standing
0.17,-9.77,-0.5,-1.47,15.33,1.47,standing
0.17,-9.76,-0.5,-0.91,15.26,1.33,standing
0.17,-9.76,-0.5,-0.42,15.12,1.12,standing
0.18,-9.75,-0.5,0.14,14.91,0.63,standing
0.18,-9.75,-0.5,0.21,14.98,0.63,standing
0.19,-9.74,-0.5,0.07,15.19,0.63,standing
0.19,-9.74,-0.51,0.21,15.33,0.7,standing
0.2,-9.74,-0.51,0.28,15.26,0.91,standing
0.2,-9.75,-0.51,0.28,15.12,1.05,standing
0.2,-9.75,-0.51,0.14,14.98,1.12,standing
0.21,-9.76,-0.51,-0.07,14.56,0.98,standing
0.2,-9.76,-0.51,-0.35,14.35,1.05,standing
0.2,-9.77,-0.52,-0.63,14.14,1.05,standing
0.2,-9.77,-0.52,-0.84,13.93,0.98,standing
0.19,-9.77,-0.53,-1.19,13.37,0.91,standing
0.19,-9.78,-0.54,-1.4,13.16,0.98,standing
0.19,-9.78,-0.54,-1.54,13.02,1.05,standing
0.19,-9.78,-0.54,-2.03,12.81,0.91,standing
0.18,-9.79,-0.54,-3.08,12.6,0.77,standing
0.19,-9.79,-0.54,-3.43,12.53,0.63,standing
0.19,-9.78,-0.54,-3.36,12.46,0.56,standing
0.19,-9.78,-0.54,-2.8,12.53,0.42,standing
0.19,-9.78,-0.54,-2.31,12.6,0.35,standing
0.19,-9.78,-0.53,-1.75,12.53,0.07,standing
0.19,-9.78,-0.53,-1.47,12.46,0.0,standing
0.2,-9.78,-0.52,-0.77,12.18,0.0,standing
0.2,-9.78,-0.51,-0.91,12.18,0.21,standing
0.2,-9.78,-0.51,-1.26,12.11,0.42,standing
0.21,-9.79,-0.51,-1.68,12.04,0.84,standing
0.21,-9.79,-0.5,-2.17,11.9,1.05,standing
0.21,-9.78,-0.5,-2.24,11.76,0.98,standing
0.21,-9.78,-0.5,-2.1,11.34,0.98,standing
0.21,-9.77,-0.5,-1.47,10.99,1.05,standing
0.22,-9.75,-0.49,-0.84,10.92,1.26,standing
0.22,-9.75,-0.49,-0.28,10.85,1.4,standing
0.22,-9.74,-0.49,0.14,10.78,1.54,standing
0.23,-9.73,-0.49,0.84,10.15,1.68,standing
0.23,-9.73,-0.5,0.91,9.8,1.61,standing
0.23,-9.72,-0.5,0.77,9.59,1.54,standing
0.24,-9.72,-0.5,0.77,9.31,1.4,standing
0.24,-9.73,-0.51,0.28,8.75,1.26,standing
0.25,-9.73,-0.51,0.28,8.47,1.19,standing
0.25,-9.73,-0.52,0.35,8.26,1.12,standing
0.26,-9.74,-0.51,0.77,8.05,1.26,standing
0.27,-9.76,-0.51,1.05,7.77,1.05,standing
0.28,-9.77,-0.5,1.05,7.49,1.05,standing
0.28,-9.78,-0.5,0.63,7.21,1.05,standing
0.3,-9.79,-0.49,-1.4,6.79,1.05,standing
0.3,-9.79,-0.49,-1.96,6.51,0.98,standing
0.31,-9.79,-0.5,-2.24,6.3,0.98,standing
0.31,-9.78,-0.5,-2.17,5.95,0.77,standing
0.32,-9.76,-0.51,-0.98,5.46,0.63,standing
0.33,-9.76,-0.51,-0.35,5.25,0.49,standing
0.33,-9.75,-0.51,0.49,4.97,0.35,standing
0.34,-9.74,-0.5,1.96,4.41,0.07,standing
0.35,-9.74,-0.5,2.1,4.27,0.07,standing
0.35,-9.74,-0.5,1.89,4.06,0.0,standing
0.35,-9.75,-0.5,1.4,3.92,0.07,standing
0.36,-9.76,-0.5,0.63,3.15,0.07,standing
0.36,-9.77,-0.5,0.0,2.87,0.0,standing
0.37,-9.78,-0.51,-0.42,2.52,0.07,standing
0.37,-9.79,-0.51,-0.77,2.1,0.14,standing
0.37,-9.8,-0.51,-1.4,1.89,0.14,standing
0.38,-9.81,-0.5,-1.68,1.68,0.14,standing
0.38,-9.81,-0.5,-1.89,1.47,0.07,standing
0.38,-9.81,-0.49,-2.38,1.26,-0.14,standing
0.38,-9.8,-0.49,-2.45,1.12,-0.14,standing
0.38,-9.8,-0.49,-2.31,1.12,-0.07,standing
0.38,-9.79,-0.49,-1.82,0.91,0.0,standing
0.37,-9.77,-0.48,-0.56,0.35,0.0,standing
0.37,-9.76,-0.48,0.07,-0.07,0.07,standing
0.36,-9.76,-0.47,0.77,-0.42,0.07,standing
0.36,-9.75,-0.47,1.19,-0.98,0.21,standing
0.36,-9.75,-0.47,0.63,-1.12,0.21,standing
0.36,-9.75,-0.48,0.42,-1.26,0.28,standing
0.36,-9.75,-0.48,0.21,-1.33,0.35,standing
0.37,-9.75,-0.49,0.28,-1.61,0.42,standing
0.37,-9.75,-0.49,0.28,-1.68,0.42,standing
0.37,-9.75,-0.49,0.28,-1.82,0.35,standing
0.37,-9.75,-0.48,0.21,-1.89,0.28,standing
0.38,-9.76,-0.48,0.0,-2.1,0.14,standing
0.39,-9.77,-0.48,-0.14,-2.17,0.0,standing
0.39,-9.77,-0.49,-0.21,-2.45,-0.07,standing
0.39,-9.78,-0.49,-0.28,-2.94,-0.21,standing
0.4,-9.79,-0.5,-0.42,-3.15,-0.35,standing
0.4,-9.79,-0.5,-0.7,-3.43,-0.35,standing
0.4,-9.79,-0.5,-0.98,-3.71,-0.35,standing
0.41,-9.79,-0.51,-1.96,-4.13,-0.28,standing
0.41,-9.79,-0.51,-2.17,-4.41,-0.21,standing
0.41,-9.79,-0.51,-2.38,-4.69,-0.21,standing
0.41,-9.78,-0.51,-2.24,-4.9,-0.28,standing
0.41,-9.78,-0.52,-1.68,-5.46,-0.49,standing
0.4,-9.77,-0.52,-1.33,-5.74,-0.49,standing
0.4,-9.77,-0.52,-1.19,-5.81,-0.49,standing
0.4,-9.77,-0.52,-1.33,-6.09,-0.63,standing
0.39,-9.77,-0.52,-1.33,-6.23,-0.84,standing
0.39,-9.76,-0.52,-1.12,-6.37,-0.98,standing
0.39,-9.76,-0.52,-0.98,-6.51,-0.98,standing
0.38,-9.77,-0.52,-0.35,-6.3,-0.84,standing
0.38,-9.77,-0.52,-0.07,-6.23,-0.56,standing
0.37,-9.77,-0.52,0.07,-6.16,-0.42,standing
0.37,-9.78,-0.52,0.0,-6.16,-0.28,standing
0.36,-9.78,-0.52,-0.91,-6.37,-0.07,standing
0.35,-9.78,-0.52,-1.26,-6.3,0.0,standing
0.35,-9.78,-0.53,-1.4,-6.3,0.07,standing
0.34,-9.78,-0.53,-1.26,-6.16,0.14,standing
0.33,-9.77,-0.54,-0.98,-6.09,0.21,standing
0.32,-9.76,-0.54,-0.7,-6.09,0.21,standing
0.32,-9.76,-0.55,-0.28,-6.02,0.35,standing
0.31,-9.75,-0.56,0.49,-5.95,0.35,standing
0.3,-9.75,-0.56,0.84,-6.02,0.42,standing
0.3,-9.75,-0.57,1.05,-6.09,0.42,standing
0.3,-9.75,-0.57,1.05,-6.02,0.42,standing
0.3,-9.75,-0.57,0.49,-6.16,0.35,standing
0.3,-9.75,-0.58,0.28,-6.23,0.21,standing
0.3,-9.75,-0.58,-0.14,-6.37,0.14,standing
0.3,-9.75,-0.58,-0.91,-6.58,-0.21,standing
0.31,-9.76,-0.58,-0.91,-6.65,-0.28,standing
0.31,-9.75,-0.58,-0.35,-6.72,-0.49,standing
0.31,-9.75,-0.59,0.7,-6.86,-0.42,standing
0.32,-9.74,-0.59,1.26,-7.07,-0.35,standing
0.32,-9.75,-0.59,1.47,-7.28,-0.21,standing
0.32,-9.75,-0.59,1.61,-7.49,-0.14,standing
0.32,-9.75,-0.59,1.61,-7.7,-0.14,standing
0.32,-9.75,-0.6,0.98,-8.05,0.0,standing
